95031827,Luke Mallett,N/C,Month To Month,N/A,$120 ,$5 ,-,-,-,-,-,,-,-,-,-,100% - 100%,81% - 81%,Match fit,Ctr,3/14/1998 (19 years old),ENG,,163 cm,125 lbs,M/AM (RL),M (RL)  AM (L),Balanced,Media-friendly,Right Only,Weak,Very Strong,Quite Good,Light,Medium,Below Average,Low injury risk,Medium,Pleased with training overall,,W,Crossing,Unavailable,,Hot Prospect,Not set,$0
29142046,Joseph Noughele,F/T,Full Contract,$220 p/w,$25 ,,6/30/18,-,-,-,-,,-,-,-,-,72% - 72%,100% - 100%,Tired after his last match,,11/16/1997 (19 years old),ENG,,183 cm,167 lbs,D (C),-,Balanced,Media-friendly,Right Only,Weak,Very Strong,Okay,Heavy,Medium,Below Average,High injury risk,Medium,Pleased with training overall,,DCB,Tackling,Not set,,First Team,Not set,$3.7K
28099014,Lewis Suddick,F/T,Full Contract,$140 p/w,$65 ,,6/30/18,-,-,-,-,,-,-,-,-,72% - 72%,100% - 100%,Tired after his last match,,10/28/1997 (19 years old),ENG,,173 cm,123 lbs,D (R),-,Balanced,Level-headed,Right,Reasonable,Very Strong,Fair,Heavy,Medium,Below Average,High injury risk,Medium,Pleased with training overall,,DFB,Strength,Not set,,First Team,Not set,$3.6K
31035108,Jake Gould,P/T,Full Contract,$325 p/w,$65 ,$15 ,6/30/18,-,-,-,-,,-,-,-,-,95% - 95%,90% - 90%,Match fit,Lst - Wnt,5/15/1987 (30 years old),ENG,,181 cm,167 lbs,D (L),-,Balanced,Media-friendly,Left Only,Very Strong,Very Weak,Okay,Light,Light,Below Average,Low injury risk,Light,Pleased with training overall,,DFB,None,Not set,,Backup,Listed,$3.1K
29158374,Conner Williamson,F/T,Full Contract,$220 p/w,$45 ,,6/30/18,-,-,-,-,,-,-,-,-,70% - 70%,96% - 96%,Tired after his last match,,4/21/1998 (19 years old),ENG,,183 cm,156 lbs,D (C),-,Balanced,Media-friendly,Right Only,Weak,Very Strong,Fairly Okay,Medium,Medium,Below Average,High injury risk,Medium,Pleased with training overall,,CD,Jumping Reach,Not set,,First Team,Not set,$675
89023445,Pip Boyland,F/T,Full Contract,$325 p/w,,,6/30/18,-,-,-,-,,-,-,-,-,75% - 75%,95% - 95%,Tired after his last match,,4/5/1988 (29 years old),ENG,,178 cm,163 lbs,D (LC)  WB (L),D (C)  WB (L),Balanced,Level-headed,Left Only,Very Strong,Very Weak,Slightly Poor,Heavy,Light,Below Average,High injury risk,Light,Pleased with training overall,,DFB,None,Unavailable,,Backup,Not set,$3.4K
1915437247,Cameron Whight,Yth,Full Contract,$7 p/w,,,6/30/19,-,-,-,-,,-,-,-,-,99% - 99%,89% - 89%,Match fit,Yth,11/12/2000 (16 years old),ENG,,179 cm,143 lbs,D (R),-,Balanced,Outspoken,Right Only,Weak,Very Strong,Quite Good,Light,Heavy,Below Average,Normal injury risk,Heavy,Pleased with training overall,,D (R),Marking,Unavailable,,Hot Prospect,Not set,$550
29139301,Martell Daswell,F/T,Full Contract,$220 p/w,$25 ,,6/30/18,-,-,-,-,,-,8/12/17,A gashed head,3 - 7 days,78% - 78%,90% - 90%,Currently in the rehabilitation phase of his treatment plan for a gashed head. Expected to be out for 3 to 7 days.,Inj,6/22/1998 (19 years old),ENG,,181 cm,158 lbs,M/AM (C),-,Balanced,Media-friendly,Right Only,Very Weak,Very Strong,Fairly Good,Medium,Medium,Below Average,Increased injury risk,Medium,Pleased with training overall,Injured,AP,Composure,Not set,,First Team,Not set,$1.7K
1915437256,Danny Freeman,Yth,Full Contract,$7 p/w,,,6/30/19,-,-,-,-,,-,-,-,-,95% - 95%,94% - 94%,Match fit,Yth,12/21/2000 (16 years old),ENG,,173 cm,136 lbs,DM  M (C),-,Unambitious,Media-friendly,Right,Reasonable,Very Strong,Fairly Good,Medium,Heavy,Low,Increased injury risk,Heavy,Pleased with training overall,,M (C),Tackling,Unavailable,,Hot Prospect,Not set,$900
31037737,Louie Newland,N/C,Month To Month,N/A,$130 ,$7 ,-,-,-,-,-,,-,-,-,-,92% - 92%,87% - 87%,Lacking match sharpness,Ctr - Rsv,6/15/1988 (29 years old),ENG,,177 cm,149 lbs,M (C),-,Balanced,Media-friendly,Right Only,Weak,Very Strong,Fairly Good,Medium,Light,Below Average,Low injury risk,Light,Pleased with training overall,,DLP,None,Unavailable,,Backup,Not set,$0
31035107,Josh Gould,N/C,Month To Month,N/A,$180 ,$9 ,-,-,-,-,-,,-,-,-,-,98% - 98%,92% - 92%,Match fit,Ctr - Wnt - Bid,4/28/1988 (29 years old),ENG,,177 cm,152 lbs,D (C),-,Balanced,Media-friendly,Right Only,Weak,Very Strong,Okay,Medium,Light,Below Average,Low injury risk,Light,Pleased with training overall,,CD,None,Unavailable,,Backup,Not set,$0
31034686,Matt Cripps,P/T,Full Contract,$240 p/w,$45 ,$10 ,6/30/18,-,-,-,-,,-,-,-,-,97% - 97%,89% - 89%,Lacking match sharpness,Wnt,5/4/1993 (24 years old),ENG,,189 cm,189 lbs,D (C),-,Balanced,Media-friendly,Right Only,Very Weak,Very Strong,Quite Good,Light,Medium,Below Average,Low injury risk,Medium,Pleased with training overall,,DCB,Marking,Not set,,Backup,Not set,$3.1K
29164157,Jordan Hancox,F/T,Full Contract,$220 p/w,$45 ,,6/30/18,-,-,-,-,,-,-,-,-,71% - 71%,100% - 100%,Tired after his last match,,10/26/1997 (19 years old),ENG,,173 cm,136 lbs,M/AM (L),-,Balanced,Media-friendly,Left,Very Strong,Weak,Fair,Heavy,Medium,Below Average,High injury risk,Medium,Pleased with training overall,,W,Crossing,Not set,,First Team,Not set,$575
1915437252,Kevin Arnison,Yth,Full Contract,$7 p/w,,,6/30/19,-,-,-,-,,-,-,-,-,96% - 96%,91% - 91%,Match fit,Yth,4/18/2001 (16 years old),ENG,,166 cm,119 lbs,AM (L),-,Low Determination,Level-headed,Left,Very Strong,Weak,Quite Good,Light,Heavy,Below Average,Normal injury risk,Heavy,Pleased with training overall,,AM (L),Stamina,Unavailable,,Hot Prospect,Not set,$1.2K
31037746,Sam Ashford,N/C,Month To Month,N/A,$170 ,$8 ,-,Offered,$275 p/w,6/30/18,-,,-,-,-,-,99% - 99%,82% - 82%,Match fit,Ctr,9/8/1996 (20 years old),ENG,,185 cm,169 lbs,M/AM (RL),M (RL),Balanced,Media-friendly,Right Only,Very Weak,Very Strong,Fairly Good,Light,Medium,Below Average,Low injury risk,Medium,Pleased with training overall,,W,First Touch,Unavailable,,Hot Prospect,Not set,$0
